NIN,Age,State_of_Origin,Gender,NIN_Linkage_Count,Login_Frequency,Geographic_Velocity,Device_Reputation_Score,Sector_Conflict_Flag,Failed_Auth_Attempts,Access_Hour,BVN_Status,NHIA_Status,JAMB_Status,FRSC_Status,Voter_ID_Status,Age_Consistency_Score,Name_Mismatch_Flag,Sector_Access_Frequency,Anomaly_Flag
63103044054,42,Niger,F,3,1,51.0279,0.9422,0,2,12,1,1,0,0,1,0.8629,0,13,0
28071779135,65,Bayelsa,F,2,4,11.1514,0.9755,0,2,20,0,1,0,1,0,0.8017,0,11,0
29175358544,55,Plateau,F,4,2,54.7204,0.6667,0,1,11,1,1,0,1,1,0.9709,0,9,0
74717303951,29,Jigawa,M,4,7,843.7954,0.2104,1,4,14,1,1,0,1,1,0.1607,1,17,1
31274153900,31,Yobe,M,4,4,43.6546,0.7519,0,0,15,1,1,1,1,0,0.7534,0,8,0
94734209932,59,Sokoto,F,3,1,71.2544,0.8984,0,1,13,0,1,0,1,1,0.8022,0,10,0
65600751265,78,Osun,F,2,3,74.0498,0.9984,0,1,21,1,0,0,0,1,0.8057,0,9,0
76979520093,67,Zamfara,F,3,5,33.9183,0.772,0,1,18,1,1,0,0,1,0.7847,0,15,0
12688794145,67,Lagos,F,4,1,18.6742,0.7334,0,1,9,1,1,0,1,1,0.8008,0,2,0
87963911500,33,Ogun,F,3,4,75.007,0.3304,1,0,9,1,0,1,1,0,0.3971,1,1,1
11389157802,46,Osun,M,3,4,24.2641,0.8444,0,0,22,1,1,0,1,0,0.7525,0,12,0
54299760013,22,Gombe,M,4,1,41.7438,0.8215,0,2,13,0,1,1,1,1,0.9588,0,2,0
68768487348,57,Kebbi,M,3,3,44.2051,0.553,0,2,20,1,0,0,1,1,0.8968,0,3,0
99253710083,67,Imo,F,3,1,27.5013,0.9309,0,1,13,1,1,0,0,1,0.9653,0,6,0
56907084469,35,Lagos,F,5,3,35.3167,0.8381,0,1,21,1,1,1,1,1,0.9577,0,8,0
38103089333,41,Yobe,M,4,4,386.7399,0.0807,0,13,17,1,1,0,1,1,0.4299,1,9,1
42511467726,39,Kogi,F,4,4,75.0908,0.9246,0,0,11,1,1,0,1,1,0.9887,0,2,0
23747094004,76,Yobe,M,3,1,63.0988,0.8857,0,1,10,1,1,0,0,1,0.9822,0,8,0
12581095708,28,Jigawa,F,4,5,27.5447,0.9095,0,1,6,1,1,1,0,1,0.7531,0,9,0
26404632148,54,Imo,M,3,4,23.8271,0.7016,0,0,17,0,0,1,1,1,0.8261,0,14,0
40607771189,76,Anambra,F,3,5,43.0053,0.6668,0,1,10,1,0,0,1,1,0.957,0,1,0
88495483762,64,Imo,F,3,1,43.7493,0.6162,0,1,10,0,1,0,1,1,0.8921,0,13,0
21402716311,49,Ebonyi,M,4,1,14.4993,0.8698,0,0,22,1,1,0,1,1,0.9376,0,12,0
63609465182,36,Delta,M,2,4,38.1969,0.9102,0,1,16,0,0,0,1,1,0.7796,0,11,0
19413757816,29,Cross River,F,3,5,31.8776,0.8458,0,2,20,0,1,1,0,1,0.7874,0,10,0
18181181736,67,Borno,F,2,3,47.5644,0.6948,0,2,6,1,0,0,0,1,0.9118,0,8,0
61587571951,80,Taraba,M,5,4,78.6432,0.6585,0,1,22,1,1,1,1,1,0.7702,0,8,0
11679449416,33,Abia,M,4,3,16.8509,0.5729,0,0,18,1,1,0,1,1,0.89,0,8,0
23058105480,78,Delta,F,3,3,3.0256,0.5711,0,2,7,1,0,1,1,0,0.8405,0,15,0
81789367105,29,Kebbi,F,4,4,34.3176,0.5951,0,0,12,1,0,1,1,1,0.9286,0,2,0
15176382928,32,Kwara,F,5,4,69.5736,0.9763,0,2,17,1,1,1,1,1,0.9832,0,8,0
56744633666,22,Enugu,F,3,3,52.4662,0.9832,0,2,13,1,0,1,1,0,0.9017,0,4,0
91488549145,71,Kebbi,F,3,3,73.2895,0.8839,0,2,12,1,1,0,0,1,0.7831,0,15,0
15595467116,28,Yobe,F,2,1,61.5437,0.6903,0,0,14,1,0,1,0,0,0.8317,0,8,0
14065213757,76,Kogi,M,4,2,22.9541,0.9843,0,1,8,1,1,0,1,1,0.8273,0,3,0
97646762714,74,Edo,F,3,1,2.5386,0.6609,0,2,7,1,0,0,1,1,0.8887,0,14,0
16671157522,78,Kaduna,M,4,1,57.3931,0.9776,0,2,6,1,1,1,0,1,0.9151,0,10,0
98753023271,32,Kano,F,5,5,47.0151,0.6208,0,0,21,1,1,1,1,1,0.9796,0,14,0
60063448408,42,Kaduna,F,3,2,55.1659,0.7978,0,1,11,1,1,0,1,0,0.9693,0,9,0
79064570141,76,Ekiti,F,2,5,24.6383,0.7352,0,2,8,0,1,0,0,1,0.7773,0,10,0
94574047732,32,Taraba,M,5,5,15.3127,0.5978,0,0,17,1,1,1,1,1,0.7548,0,10,0
90340638354,19,Niger,F,5,1,26.6766,0.7735,0,2,19,1,1,1,1,1,0.9062,0,14,0
76123749766,78,Kwara,F,2,4,22.7564,0.8193,0,0,21,0,0,0,1,1,0.7503,0,2,0
72805602848,27,Imo,F,5,1,23.3615,0.9065,0,1,7,1,1,1,1,1,0.8963,0,12,0
77540140581,23,Kebbi,F,2,4,52.3136,0.9033,0,1,13,0,0,0,1,1,0.8059,0,2,0
85722883869,73,Imo,F,3,1,41.7541,0.9782,0,0,7,1,1,0,0,1,0.9755,0,2,0
83949064992,23,Sokoto,F,3,19,18.905,0.7175,0,0,23,1,0,1,1,0,0.4249,0,31,1
18550349609,47,Sokoto,F,3,4,23.2211,0.6339,0,2,7,1,1,0,0,1,0.9952,0,6,0
